"Provedor";"Domínio";"Recurso";"Descrição funcional";"Requisitos de monitoramento";"Métricas / logs / eventos";"Criticidade";"Observações"
"Google Cloud Platform";"Computação";"Compute Engine (VM)";"Máquinas virtuais de propósito geral para cargas de trabalho que não rodam em GKE ou serviços gerenciados.";"CPU, memória, disco, rede, uptime, eventos de boot/crash.";"compute.googleapis.com/instance/cpu/utilization; .../disk/read_bytes_count; .../network/received_bytes_count; Cloud Logging (serial port, eventos de start/stop/preempção).";"Alta";"Métricas de memória e processos exigem o Ops Agent instalado — não vêm por padrão da VM."
"Google Cloud Platform";"Computação";"Compute Engine Reservations";"Reserva de capacidade de máquina/GPU para garantir provisionamento (ex.: usada por instâncias de Workbench com GPU).";"Utilização da reserva frente à capacidade comprometida.";"compute.googleapis.com/reservation/...; Cloud Audit Logs de criação/exclusão.";"Média";"Pouco monitorada isoladamente; risco principal é sub ou sobre-provisionamento de capacidade reservada."
"Google Cloud Platform";"Computação";"Vertex AI Workbench (Notebook)";"Instância de notebook gerenciada (JupyterLab) para ciência de dados/ML, com disco CMEK e rede privada.";"Estado da instância, uso de CPU/GPU/memória, auto-shutdown por ociosidade, acesso via proxy.";"aiplatform.googleapis.com/... (métricas de notebook); Cloud Logging via Notebooks API; eventos de start/stop/idle-shutdown.";"Média";"Idle-timeout configurado via infraestrutura controla custo; presença de GPU aumenta a criticidade de custo."
"Google Cloud Platform";"Computação";"Colab Enterprise Runtime";"Ambiente de execução gerenciado do Colab Enterprise (Vertex AI) para notebooks colaborativos.";"Uso de recursos do runtime, tempo de vida, custo por execução.";"aiplatform.googleapis.com/... (runtime de notebook); Cloud Audit Logs de criação/exclusão do runtime.";"Baixa";"Recurso relativamente novo na plataforma — menor maturidade de observabilidade nativa comparado a Compute Engine."
"Google Cloud Platform";"Containers";"GKE Cluster";"Cluster Kubernetes gerenciado — control plane do GKE.";"Saúde do control plane, versão, node readiness, uso da API server, expiração de certificado.";"kubernetes.io/... (via integração nativa Cloud Monitoring/Logging); eventos de upgrade e scaling do cluster.";"Alta";"Exige logging_service/monitoring_service habilitados no cluster para cobertura completa de métricas."
"Google Cloud Platform";"Containers";"GKE Node Pool";"Pool de nós (workers) do cluster GKE, com autoscaling.";"Contagem de nós, eventos de autoscaling, uso de CPU/memória por nó, falhas de agendamento de pod.";"kubernetes.io/node/...; kubernetes.io/autoscaler/...; eventos de scale-up/scale-down.";"Alta";"Separação entre node pool de sistema e de aplicação (visto na nomenclatura dos módulos) sugere monitorar as duas populações separadamente."
"Google Cloud Platform";"Containers";"GKE Fleet / Hub (Service Mesh)";"Registro do cluster na Fleet do GCP e configuração do Service Mesh (Anthos/Istio).";"Saúde do mesh, latência/erro entre serviços, sincronização de configuração.";"Métricas do Anthos Service Mesh (dashboards dedicados no Console); Cloud Logging de sidecar/proxy.";"Alta";"Tem console de observabilidade dedicado no GCP — vale mapear separado do monitoramento padrão do GKE."
"Google Cloud Platform";"Rede";"VPC Subnetwork (Shared VPC)";"Sub-redes usadas por GKE e outros recursos (incluindo ranges secundários de pods/serviços) numa Shared VPC.";"Utilização de IP (esgotamento de range), fluxo de rede.";"compute.googleapis.com/...; VPC Flow Logs.";"Alta";"Esgotamento de range secundário é causa comum de falha silenciosa de scale-up no GKE — recomendável alerta dedicado."
"Google Cloud Platform";"Rede";"Private Service Access";"Peering de rede privada usado por serviços gerenciados (ex.: Cloud SQL) para se conectarem à VPC sem IP público.";"Disponibilidade do peering, esgotamento do range /29 reservado.";"Poucas métricas nativas de série temporal; principalmente Cloud Audit Logs de criação/alteração da conexão.";"Média";"Falha de alocação de range é um erro operacional recorrente em provisionamento de novos recursos."
"Google Cloud Platform";"Rede";"Cloud DNS (Managed Zone)";"Zona DNS privada interna.";"Contagem de queries, latência de resolução, registros órfãos.";"dns.googleapis.com/query/...; Cloud Logging de queries (se habilitado).";"Média";"—"
