"Provedor";"Domínio";"Recurso";"Descrição funcional";"Requisitos de monitoramento";"Métricas / logs / eventos";"Criticidade";"Observações"
"IBM Cloud";"Containers";"ROKS Cluster (Red Hat OpenShift)";"Control plane do cluster OpenShift gerenciado em VPC, com master privado por padrão e registry interno apoiado em Cloud Object Storage.";"Saúde do control plane, estado do cluster, versão do OpenShift, expiração de certificado, readiness dos masters.";"IBM Cloud Monitoring (Sysdig) — integração nativa de containers; IBM Cloud Logs para eventos do control plane; Activity Tracker para criação/alteração/exclusão do cluster.";"Alta";"disable_public_service_endpoint = true é o default do módulo — master só acessível pela rede privada; monitorar também a saúde do bastion/jump host usado para acesso administrativo."
"IBM Cloud";"Containers";"ROKS Worker Pool";"Pools de workers do cluster — pool default criado junto ao cluster, pools adicionais (ex.: GPU com taints) via módulo dedicado.";"Contagem de nós por pool, uso de CPU/memória por nó, falhas de agendamento de pod, eventos de scaling.";"IBM Cloud Monitoring (Sysdig) — métricas de nó/kubelet; logs de kubelet/containerd via IBM Cloud Logs.";"Alta";"Pools com taint (GPU, alta memória) merecem monitoramento de utilização separado — nó especializado ocioso é desperdício de custo direto."
"IBM Cloud";"Banco de Dados";"Db2 (on Cloud / Warehouse)";"Banco relacional gerenciado IBM Db2, nas variantes OLTP (on Cloud) ou analítica/MPP (Warehouse).";"CPU/memória da instância, uso de tablespace, conexões ativas, lock waits, status de backup, buffer pool hit ratio.";"IBM Cloud Monitoring (Sysdig) para métricas de plataforma; views nativas do motor (MON_GET_*, db2pd) para detalhe interno; Activity Tracker para eventos administrativos (backup, restore, scaling).";"Alta";"Sem módulo de Terraform para Db2 neste repositório — recurso catalogado a partir do uso reportado, não de código como o domínio Containers."
"IBM Cloud";"Banco de Dados";"Databases for Redis";"Serviço gerenciado de cache/estrutura em memória, usado para cache de aplicação, filas leves ou sessão.";"Uso de memória, clientes conectados, taxa de comandos/s, hit/miss ratio, replicação (quando HA habilitada), evictions.";"IBM Cloud Monitoring (Sysdig) — métricas nativas de Databases for Redis; Activity Tracker para eventos administrativos (scaling, failover, criação de usuário).";"Alta";"Memória alta sustentada combinada com evictions crescentes é o principal indicador de subdimensionamento do plano."
"IBM Cloud";"Computação";"Virtual Server Instance (VM)";"Máquina virtual de propósito geral em VPC, para workloads que não rodam em container ou serviço gerenciado (ex.: bastion/jump host, cargas legadas).";"CPU, memória, disco, rede, uptime, eventos de boot/reboot/exclusão.";"IBM Cloud Monitoring (agente Sysdig) para métricas de SO; IBM Cloud Logs para logs de aplicação/sistema (requer agente); Activity Tracker para eventos de ciclo de vida da instância.";"Alta";"Métricas de memória/processo exigem o agente Sysdig instalado no SO — não vêm por padrão só com a instância provisionada."
"IBM Cloud";"Rede";"VPC (Virtual Private Cloud)";"Rede virtual isolada que hospeda subnets, cluster ROKS e VMs — unidade de isolamento de rede na IBM Cloud.";"Uso de address prefixes, consistência de rotas, alterações de configuração.";"Activity Tracker para criação/alteração da VPC; poucas métricas de série temporal nativas no nível da VPC em si.";"Média";"—"
"IBM Cloud";"Rede";"Subnet";"Sub-rede dentro de uma zona da VPC, consumida pelo cluster ROKS (zones[].subnet_id) e por VSIs.";"Esgotamento de IPs disponíveis na subnet.";"Activity Tracker de criação/alteração; sem métrica nativa de série temporal para utilização de IP — requer consulta periódica via API/CLI.";"Alta";"Esgotamento de subnet é causa comum de falha silenciosa ao expandir worker pools do ROKS ou provisionar novas VSIs — vale alerta calculado via API."
"IBM Cloud";"Rede";"Public Gateway";"Gateway que dá saída à internet (NAT) para recursos em subnets privadas.";"Disponibilidade do gateway, associação correta com a subnet.";"Activity Tracker de criação/alteração/associação; sem métrica de tráfego nativa dedicada.";"Média";"—"
"IBM Cloud";"Rede";"Security Group";"Firewall stateful aplicado às interfaces de rede de VSIs, workers do ROKS e demais recursos da VPC.";"Mudanças de regra (quem abriu/fechou o quê), regras excessivamente permissivas (ex.: 0.0.0.0/0).";"Activity Tracker para mudança de regra; VPC Flow Logs para tráfego permitido/negado por regra.";"Alta";"VPC Flow Logs não vem habilitado por padrão — recomendável ligar nas subnets críticas."
"IBM Cloud";"Rede";"Load Balancer for VPC";"Balanceador de carga (application ou network) para distribuir tráfego entre VSIs/pods.";"Latência, taxa de erro, saúde dos back-ends (health checks), throughput.";"IBM Cloud Monitoring (Sysdig) — métricas de ALB/NLB; logs de acesso via IBM Cloud Logs, quando habilitados.";"Alta";"Logs de acesso não vêm habilitados por padrão — precisam ser ligados explicitamente por load balancer."
"IBM Cloud";"Rede";"VPN Gateway / Direct Link";"Conectividade híbrida entre a VPC e ambientes on-premises ou outras nuvens — VPN site-to-site ou interconexão dedicada.";"Estado do túnel/conexão (up/down), throughput, latência, flaps de conexão.";"Activity Tracker para mudança de configuração; métricas de status de túnel/conexão via IBM Cloud Monitoring, quando disponíveis para o tipo de conexão.";"Alta";"Conectividade híbrida costuma ser ponto único de falha para acesso administrativo — recomendável alerta dedicado de estado de conexão."
